STATION,DATE,AWND,PRCP,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21
USW00012918,3/19/2001,12.08,0,62,49,,,,,,,,,,,,,,,,,,
USW00012918,3/20/2001,9.4,0,67,45,,,,,,,,,,,,,,,,,,
USW00012918,3/21/2001,4.25,0,74,43,,,,,,,,,,,,,,,,,,
USW00012918,3/22/2001,6.04,0,74,48,1,,,,,,,,,,,,,,,,,1
USW00012918,3/23/2001,6.26,0,76,54,1,1,,,,,,,,,,1,,,,,,
USW00012918,3/24/2001,6.71,0.28,77,60,1,,,,,,,1,,,,1,,,1,,,1
USW00012918,3/25/2001,12.3,0,68,53,,,,,,,,,,,,,,,,,,
USW00012918,3/26/2001,7.83,0,65,48,,,,,,,,,,,,,,,,,,
USW00012918,3/27/2001,16.11,1.42,57,46,1,,1,,1,,,,,,,1,,,1,,,
USW00012918,3/28/2001,9.62,1.04,61,50,1,,1,,,,,,,,,1,1,,1,,,
USW00012918,3/29/2001,6.49,0.06,64,55,1,,,,,,,,,,,1,1,,1,,,
USW00012918,3/30/2001,4.47,0,68,48,1,,,,,,,1,,,,1,,,,,,
USW00012918,3/31/2001,2.91,0,76,50,,,,,,,,,,,,,,,,,,
USW00012918,4/1/2001,6.26,0,76,53,1,,,,,,,,,,,1,,,,,,
USW00012918,4/2/2001,10.96,0,78,63,1,,,,,,,,,,,1,,,1,,,
USW00012918,4/3/2001,9.62,0,80,72,1,,,,,,,,,,,1,,,,,,
USW00012918,4/4/2001,7.16,0,83,72,1,,,,,,,,,,,1,,,,,,
USW00012918,4/5/2001,10.29,0,83,71,1,,,,,,,,,,,1,,,,,,
