STATION,DATE,AWND,PRCP,TMAX,TMIN,WDF5,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21
USW00012918,5/19/1999,6.26,0,85,69,70,17,,,,,,,,,,,,,,,,,,
USW00012918,5/20/1999,6.71,0,86,69,160,19.9,1,,,,,,,,,,,1,,,,,,
USW00012918,5/21/1999,7.38,0,88,70,180,21,,,,,,,,,,,,,,,,,,
USW00012918,5/22/1999,4.7,0,89,69,160,17.9,,,,,,,,,,,,,,,,,,
USW00012918,5/23/1999,5.14,0,90,67,240,17,,,,,,,,,,,,,,,,,,
USW00012918,5/24/1999,4.7,0,89,72,160,14.1,,,,,,,,,,,,,,,1,,,
USW00012918,5/25/1999,8.28,0,90,73,150,23,,,,,,,,,,,,,,,,,,
USW00012918,5/26/1999,6.71,0.18,85,71,10,21.9,1,,,,,,,,,,,1,,,1,,,
USW00012918,5/27/1999,8.28,0.02,88,66,,0,,,1,,,,,,,,,,,,1,,,
USW00012918,5/28/1999,5.59,0.02,85,68,120,21.9,1,1,,,,,,,,,,1,,,1,,,
USW00012918,5/29/1999,3.8,0.22,86,69,180,31.1,1,,1,,,,,,,,,1,,,1,,,
USW00012918,5/30/1999,6.71,0.79,88,69,250,25.1,1,,1,,,,,,,,,1,,,1,,,
USW00012918,5/31/1999,7.38,0,90,74,190,19.9,1,1,,,,,,,,,,1,,,,,,
USW00012918,6/1/1999,8.05,0,90,74,170,21.9,1,,,,,,,,,,,1,,,,,,
USW00012918,6/2/1999,7.16,0,89,73,150,16.1,,,,,,,,,,,,,,,,,,
USW00012918,6/3/1999,7.61,0,89,75,150,17.9,,,,,,,,,,,,,,,,,,
USW00012918,6/4/1999,8.95,0,90,75,170,21,,,,,,,,,,,,,,,,,,
USW00012918,6/5/1999,9.4,0,90,76,130,21,,,,,,,,,,,,,,,,,,
USW00012918,6/6/1999,6.26,0,91,75,170,16.1,,,,,,,,,,,,,,,,,,
USW00012918,6/7/1999,3.8,0.04,88,75,100,17.9,1,,,,,,,,,,,1,,,1,,,
